           1  0.10900000000000004     
           2  0.10900000000000004     
           3   4.5699999999999991E-002
           4   4.4199999999999982E-002
           5   4.4199999999999982E-002
           6   4.4199999999999982E-002
           7   4.4199999999999982E-002
           8   4.4199999999999982E-002
           9   4.4199999999999982E-002
          10   4.4199999999999982E-002
          11   4.4199999999999982E-002
          12   4.4199999999999982E-002
          13   4.4199999999999982E-002
          14   4.4199999999999982E-002
          15   4.4199999999999982E-002
          16   4.4199999999999982E-002
          17   4.4199999999999982E-002
          18   4.4199999999999982E-002
          19   4.4199999999999982E-002
          20   4.4199999999999982E-002
          21   4.4199999999999982E-002
          22   4.4199999999999982E-002
          23   4.4199999999999982E-002
          24   4.4199999999999982E-002
          25   4.4199999999999982E-002
          26   4.4199999999999982E-002
          27   4.4199999999999982E-002
          28   4.4199999999999982E-002
          29   4.4199999999999982E-002
          30   8.0999999999999753E-003
