           1   1.2393000000000003     
           2  0.96979999999999944     
           3  0.72809999999999986     
           4   9.1399999999999981E-002
           5   9.1399999999999981E-002
           6   9.1399999999999981E-002
           7   9.1399999999999981E-002
           8   9.1399999999999981E-002
           9   9.1399999999999981E-002
          10   9.1399999999999981E-002
          11   9.1399999999999981E-002
          12   9.1399999999999981E-002
          13   3.2499999999999897E-002
          14   3.2499999999999897E-002
          15   3.2499999999999897E-002
          16   3.2499999999999897E-002
          17   3.2499999999999897E-002
          18   3.2499999999999897E-002
          19   3.2499999999999897E-002
          20   3.2499999999999897E-002
          21   3.2499999999999897E-002
          22   3.2499999999999897E-002
          23   3.2499999999999897E-002
          24   3.2499999999999897E-002
          25   1.3000000000000086E-002
          26   1.3000000000000086E-002
          27   1.3000000000000086E-002
          28   1.3000000000000086E-002
          29   8.9999999999999906E-003
